,Monday,Tuesday,Wednesday,Thursday,Friday
2025-03-17,0,0,0,0,0
2025-03-24,0,0,0,0,0
2025-03-31,0,0,0,0,0
2025-04-07,0,0,0,0,0
2025-04-14,0,0,0,0,0
2025-04-21,0,0,0,0,0
2025-04-28,0,0,0,0,0
2025-05-05,0,0,0,0,0
2025-05-12,0,0,0,0,0
2025-05-19,0,0,0,0,0
2025-05-26,0,0,0,0,0
2025-06-02,0,0,0,0,0
2025-06-09,0,0,0,0,0
2025-06-16,0,0,0,0,0
2025-06-23,0,0,0,0,0
2025-06-30,0,0,0,0,0
2025-07-07,0,0,0,0,0
2025-07-14,0,0,0,0,0
2025-07-21,0,0,0,0,0
2025-07-28,0,0,0,0,0
2025-08-04,0,0,0,0,0
2025-08-11,0,0,0,0,0
2025-08-18,0,0,0,0,0
2025-08-25,0,0,0,0,0
2025-09-01,0,0,0,0,0
2025-09-08,0,0,0,0,0
2025-09-15,0,0,0,0,0
2025-09-22,0,0,0,0,0
2025-09-29,0,0,-4,-5,-5
2025-10-06,0,0,0,0,0
2025-10-13,0,0,0,0,0
2025-10-20,0,0,0,0,0
2025-10-27,0,0,0,0,0
2025-11-03,0,0,0,0,0
2025-11-10,0,0,0,0,0
2025-11-17,0,0,0,0,0
2025-11-24,0,0,0,0,0
2025-12-01,0,0,0,0,0
2025-12-08,0,0,0,0,0
2025-12-15,0,0,0,0,0
2025-12-22,0,0,0,0,0
2025-12-29,0,0,0,0,0
2026-01-05,0,0,0,0,0
2026-01-12,0,0,0,0,0
2026-01-19,0,0,0,0,0
2026-01-26,0,0,0,0,0
2026-02-02,0,0,0,0,0
2026-02-09,0,0,0,0,0
2026-02-16,0,0,0,0,0
2026-02-23,0,0,0,0,0
2026-03-02,0,0,0,0,0
2026-03-09,0,0,0,0,0
2026-03-16,0,0,0,0,0
2026-03-23,0,0,0,0,0
2026-03-30,0,0,0,0,0
2026-04-06,0,0,0,0,0
2026-04-13,0,0,0,0,0
2026-04-20,0,0,0,0,0
2026-04-27,0,0,0,0,0
2026-05-04,0,0,0,0,0
2026-05-11,0,0,0,0,0
2026-05-18,0,0,0,0,0
2026-05-25,0,0,0,0,0
2026-06-01,0,0,0,0,0
2026-06-08,0,0,0,0,0
2026-06-15,0,0,0,0,0
2026-06-22,0,0,0,0,0
2026-06-29,0,0,0,0,0
2026-07-06,0,0,0,0,0
2026-07-13,0,0,0,0,0
2026-07-20,0,0,0,0,0
2026-07-27,0,0,0,0,0
2026-08-03,0,0,0,0,0
2026-08-10,0,0,0,0,0
2026-08-17,0,0,0,0,0
2026-08-24,0,0,0,0,0
2026-08-31,0,0,0,0,0
2026-09-07,0,0,0,0,0
2026-09-14,0,0,0,0,0
2026-09-21,0,0,0,0,0
2026-09-28,0,0,0,0,0
2026-10-05,0,0,-4,-5,-5
2026-10-12,0,0,0,0,0
2026-10-19,0,0,0,0,0
2026-10-26,0,0,0,0,0
2026-11-02,0,0,0,0,0
2026-11-09,0,0,0,0,0
2026-11-16,0,0,0,0,0
2026-11-23,0,0,0,0,0
2026-11-30,0,0,0,0,0
2026-12-07,0,0,0,0,0
2026-12-14,0,0,0,0,0
2026-12-21,0,0,0,0,0
2026-12-28,0,0,0,0,0
2027-01-04,0,0,0,0,0
2027-01-11,0,0,0,0,0
2027-01-18,0,0,0,0,0
2027-01-25,0,0,0,0,0
2027-02-01,0,0,0,0,0
2027-02-08,0,0,0,0,0
2027-02-15,0,0,0,0,0
2027-02-22,0,0,0,0,0
2027-03-01,0,0,0,0,0
2027-03-08,0,0,0,0,0
2027-03-15,0,0,0,0,0
2027-03-22,0,0,0,0,0
2027-03-29,0,0,0,0,0
2027-04-05,0,0,0,0,0
2027-04-12,0,0,0,0,0
2027-04-19,0,0,0,0,0
2027-04-26,0,0,0,0,0
2027-05-03,0,0,0,0,0
2027-05-10,0,0,0,0,0
2027-05-17,0,0,0,0,0
2027-05-24,0,0,0,0,0
2027-05-31,0,0,0,0,0
2027-06-07,0,0,0,0,0
2027-06-14,0,0,0,0,0
2027-06-21,0,0,0,0,0
2027-06-28,0,0,0,0,0
2027-07-05,0,0,0,0,0
2027-07-12,0,0,0,0,0
2027-07-19,0,0,0,0,0
2027-07-26,0,0,0,0,0
2027-08-02,0,0,0,0,0
2027-08-09,0,0,0,0,0
2027-08-16,0,0,0,0,0
2027-08-23,0,0,0,0,0
2027-08-30,0,0,0,0,0
2027-09-06,0,0,0,0,0
2027-09-13,0,0,0,0,0
2027-09-20,0,0,0,0,0
2027-09-27,0,0,0,0,-4
2027-10-04,-5,-5,0,0,0
2027-10-11,0,0,0,0,0
2027-10-18,0,0,0,0,0
2027-10-25,0,0,0,0,0
2027-11-01,0,0,0,0,0
2027-11-08,0,0,0,0,0
2027-11-15,0,0,0,0,0
2027-11-22,0,0,0,0,0
2027-11-29,0,0,0,0,0
2027-12-06,0,0,0,0,0
2027-12-13,0,0,0,0,0
2027-12-20,0,0,0,0,0
2027-12-27,0,0,0,0,0
2028-01-03,0,0,0,0,0
2028-01-10,0,0,0,0,0
2028-01-17,0,0,0,0,0
2028-01-24,0,0,0,0,0
2028-01-31,0,0,0,0,0
2028-02-07,0,0,0,0,0
2028-02-14,0,0,0,0,0
2028-02-21,0,0,0,0,0
2028-02-28,0,0,0,0,0
2028-03-06,0,0,0,0,0
2028-03-13,0,0,0,0,0
2028-03-20,0,0,0,0,0
2028-03-27,0,0,0,0,0
2028-04-03,0,0,0,0,0
2028-04-10,0,0,0,0,0
2028-04-17,0,0,0,0,0
2028-04-24,0,0,0,0,0
2028-05-01,0,0,0,0,0
2028-05-08,0,0,0,0,0
2028-05-15,0,0,0,0,0
2028-05-22,0,0,0,0,0
2028-05-29,0,0,0,0,0
2028-06-05,0,0,0,0,0
2028-06-12,0,0,0,0,0
2028-06-19,0,0,0,0,0
2028-06-26,0,0,0,0,0
2028-07-03,0,0,0,0,0
2028-07-10,0,0,0,0,0
2028-07-17,0,0,0,0,0
2028-07-24,0,0,0,0,0
2028-07-31,0,0,0,0,0
2028-08-07,0,0,0,0,0
2028-08-14,0,0,0,0,0
2028-08-21,0,0,0,0,0
2028-08-28,0,0,0,0,0
2028-09-04,0,0,0,0,0
2028-09-11,0,0,0,0,0
2028-09-18,0,0,0,0,0
2028-09-25,0,0,0,0,0
2028-10-02,0,0,-4,-5,-5
